"WineNight","WineType","Person","WineNumber","Rating"
"MB3","Malbec","Chris",5,NA
"MB3","Malbec","Molly",5,NA
"MB3","Malbec","Ben",5,NA
"MB3","Malbec","Susan",6,NA
"MB3","Malbec","Jen",6,NA
"MB3","Malbec","Dan",6,NA
"MB3","Malbec","Kevin",6,NA
"MB3","Malbec","Kamara",6,NA
"MB3","Malbec","Amy",6,NA
"MB3","Malbec","Andy",6,NA
"MB3","Malbec","Rosemary",6,NA
"MB3","Malbec","Chris",6,NA
"MB3","Malbec","Molly",6,NA
"MB3","Malbec","Ben",6,NA
"MB3","Malbec","Susan",7,NA
"MB3","Malbec","Jen",7,NA
"MB3","Malbec","Dan",7,NA
"MB3","Malbec","Kevin",7,NA
"MB3","Malbec","Kamara",7,NA
"MB3","Malbec","Amy",7,NA
"MB3","Malbec","Andy",7,NA
"MB3","Malbec","Rosemary",7,NA
"MB3","Malbec","Chris",7,NA
"MB3","Malbec","Molly",7,NA
"MB3","Malbec","Ben",7,NA
"MB3","Malbec","Susan",8,NA
"MB3","Malbec","Jen",8,NA
"MB3","Malbec","Dan",8,NA
"MB3","Malbec","Kevin",8,NA
"MB3","Malbec","Kamara",8,NA
"MB3","Malbec","Amy",8,NA
"MB3","Malbec","Andy",8,NA
"MB3","Malbec","Rosemary",8,NA
"MB3","Malbec","Chris",8,NA
"MB3","Malbec","Molly",8,NA
"MB3","Malbec","Ben",8,NA
"MB3","Malbec","Susan",9,NA
"MB3","Malbec","Jen",9,NA
"MB3","Malbec","Dan",9,NA
"MB3","Malbec","Kevin",9,NA
"MB3","Malbec","Kamara",9,NA
"MB3","Malbec","Amy",9,NA
"MB3","Malbec","Andy",9,NA
"MB3","Malbec","Rosemary",9,NA
"MB3","Malbec","Chris",9,NA
"MB3","Malbec","Molly",9,NA
"MB3","Malbec","Ben",9,NA
"MB3","Malbec","Susan",10,NA
"MB3","Malbec","Jen",10,NA
"MB3","Malbec","Dan",10,NA
"MB3","Malbec","Kevin",10,NA
"MB3","Malbec","Kamara",10,NA
"MB3","Malbec","Amy",10,NA
"MB3","Malbec","Andy",10,NA
"MB3","Malbec","Rosemary",10,NA
"MB3","Malbec","Chris",10,NA
"MB3","Malbec","Molly",10,NA
"MB3","Malbec","Ben",10,NA
"MB3","Malbec","Susan",11,NA
"MB3","Malbec","Jen",11,NA
"MB3","Malbec","Dan",11,NA
"MB3","Malbec","Kevin",11,NA
"MB3","Malbec","Kamara",11,NA
"MB3","Malbec","Amy",11,NA
"MB3","Malbec","Andy",11,NA
"MB3","Malbec","Rosemary",11,NA
"MB3","Malbec","Chris",11,NA
"MB3","Malbec","Molly",11,NA
"MB3","Malbec","Ben",11,NA
